product_name,orderid,orderdate,status
SKYFIT HAND WRAP FOR BOXING WORKOUT AND WRIST PAIN Gym & Fitness Gloves  (Black),ORD10000,2025-05-19,shipped
"LIZA ANGEL UV Protection, Polarized Rectangular Sunglasses (Free Size)  (For Boys & Girls, Black)",ORD10001,2025-02-03,in-progress
"maaya Small 10 L Backpack Rabbit Kids School Bag Soft Plush Backpack Cartoon Bags for Baby Boys/Girls of 2-6 years Plush School Bag, Toy School Bag  (Multicolor)",ORD10002,2025-02-28,delivered
SOCCI Women Black Wedges Sandal,ORD10003,2025-04-30,delivered
"BRUT Original Deodorant Spray for Men Deodorant Spray  -  For Men  (400 ml, Pack of 2)",ORD10004,2025-07-02,in-progress
Durafit 3 in 1 Multifunction Manual With Twister And Push-up Bar Treadmill,ORD10005,2024-12-17,delivered
"ENSURE High Protein Nutrition for Active Adults (Chocolate Flavour) Nutrition Drink  (400 g, Chocolate Flavored)",ORD10006,2025-03-27,shipped
GIVA Sterling Silver Pisces Zodiac Pendant with Link Chain For Girls and Womens Rhodium Sterling Silver Pendant,ORD10007,2025-03-29,delivered
XYXX 100% Super Combed Cotton Renew Printed Men Boxer,ORD10008,2025-08-18,shipped
"Lyra Churidar  Western Wear Legging  (White, Solid)",ORD10009,2025-11-09,shipped
"BIGMUSCLES NUTRITION Essential Whey Protein | 24g Protein with Digestive Enzymes, Vitamin & Minerals Whey Protein  (1 kg, Dutch Chocolate)",ORD10010,2025-08-13,shipped
"Latest Trendz VR 3D Virtual Reality 360° Viewing vr box for all Smart Phone  (Smart Glasses, Black)",ORD10011,2025-10-31,delivered
"ghar ki khushiya High Quality 60 High-Bright LED Light with Android Charging Support solar, Rechargeable Emergency NEW Light Lantern Emergency Light (White) 8 hrs Lantern Emergency Light  (White)",ORD10012,2025-10-16,delivered
MegaDeal With Reflecting Tape Marks DT-2234C+ Digital Tachometer RPM Meter Digital Laser Beam Non-Contact Tachometer Handheld Rotating Speed Scale Meter 2.5-100000 Electronic RPM Photo Tachometer Takometer Non Contact Tachometer,ORD10013,2025-02-04,shipped
"MILTON Hexa Pet Jar (6 jars- 270ml, 6 Jars- 665ml and 6 Jars- 1240ml)  - 270 ml, 665 ml, 1240 ml Plastic Grocery Container  (Pack of 18, Brown)",ORD10014,2025-06-13,shipped
DUREX Extra Time Condom  (10 Sheets),ORD10015,2025-10-23,delivered
WALKAROO ONEDERS Slip on Walking Shoes For Boys & Girls  (Blue),ORD10016,2025-10-23,in-progress
NICK AND JONES Boys & Girls Solid Casual Jacket,ORD10017,2025-06-09,delivered
NoWorries Motivational quote laptop skin sticker decal for all laptop - size 16x11 inch Customizable Vinyl Laptop Decal 15.6,ORD10018,2025-11-12,shipped
MANIAC Men Full Sleeve Graphic Print Sweatshirt,ORD10019,2025-05-01,delivered
Caprese Women Red Tote - Regular Size,ORD10020,2025-03-16,in-progress
asian Women Multicolor Flats Sandal,ORD10021,2025-09-07,shipped
LA VERNE Microfibre Stripes Sleeping Pillow Pack of 2  (White),ORD10022,2025-10-25,delivered
"EyeBogler Men Printed Hooded Neck Blue, Black T-Shirt",ORD10023,2024-12-09,delivered
KAMAL Two in One Angle Cock - FLT Twin Elbow Valve Faucet  (Wall Mount Installation Type),ORD10024,2025-01-13,in-progress
Pantaloons Junior Boys Regular Fit Solid Spread Collar Casual Shirt,ORD10025,2025-01-08,delivered
"BRANDONN Embroidered Single AC Blanket for  AC Room  (Poly Cotton, PINK RABBIT)",ORD10026,2025-05-10,shipped
"Ariser enterprises Multipurpose Kitchen Storage Organizer Folding Rack Plastic Wall Shelf  (Number of Shelves - 4, Blue)",ORD10027,2025-02-27,shipped
"Well Set Multi-use Rack / Bathroom Shelf / Kitchen Shelf / Bathroom Stand / Bathroom Rod Stainless Steel Wall Shelf  (Number of Shelves - 2, Silver)",ORD10028,2025-10-10,delivered
Monopoly Deluxe Edition Money & Assets Games Board Game,ORD10029,2025-06-13,shipped
Manogyam FAT BURNING AND MUSCLE BUILDING TUMMY TRIMMER/CRUNCHER & DOUBLE TONING TUBE COMBO Fitness Accessory Kit Kit,ORD10030,2024-12-18,in-progress
"VINCENT CHASE by Lenskart Polarized, UV Protection Round Sunglasses (52)  (For Men & Women, Grey)",ORD10031,2025-07-04,in-progress
"FOGG FRESH FOUGERE + FRESH FOUGERE 240ml Body Spray  -  For Men  (240 ml, Pack of 2)",ORD10032,2025-03-26,shipped
PUMA Solid Women Black Tights,ORD10033,2025-07-13,in-progress
Fargo Multicolor Women Sling Bag,ORD10034,2025-02-01,delivered
TINY BINY Baby Boys Casual T-shirt Shorts  (Light Green),ORD10035,2025-03-23,shipped
Fashion Frill Bar Pendant Silver Chain For Boys Black Silver Locket Chain For Men Pack of 2 Silver Plated Stainless Steel Chain,ORD10036,2025-10-03,shipped
"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)  (Black, Lithium Polymer)",ORD10037,2025-06-08,delivered
"Vero Forza Glide PRO (4 Piece) Thumb & Finger Sleeve for Mobile Game, Pubg, Cod, Freefire & Fortnite  Gaming Accessory Kit  (Multicolor, For Android, iOS)",ORD10038,2025-09-20,shipped
PRETTY LOVING THING Pack of 2 Women Nighty with Robe  (Pink),ORD10039,2025-06-20,shipped
HOTSTYLE Boxer Boots For Men  (Blue),ORD10040,2025-04-24,in-progress
"Urbanic Cut Out Tankinis Striped Women Bikini Blue, White Swimsuit",ORD10041,2025-07-04,shipped
"CMerchants PP Collapsible Wardrobe  (Finish Color - Dark Grey, DIY(Do-It-Yourself))",ORD10042,2025-03-12,shipped
Bella vita organic Ros� Eau De Parfum With Long Lasting Floral Fragrance For Women Eau de Parfum  -  100 ml  (For Women),ORD10043,2025-10-27,delivered
Buddsbuddy Combo of 5 Coconut Based Skincare Wet Wipes  (360 Wipes),ORD10044,2025-05-24,in-progress
"Zoook Blade / Rechargeable, 7 Color RGB, Silent Wireless Optical Mouse  (2.4GHz Wireless, Rose Gold)",ORD10045,2025-04-12,shipped
"RJV Global Solid Balloon Pump with Glue dot & Arch Strip for Balloon & Inflatable Party Accessory Balloon  (White, Pack of 3)",ORD10046,2025-03-13,delivered
Make Ur Wish 2 In 1 Power Full Led Rechargeable Long Range Torch Up to 1 Km With BackLight 6 hrs Torch Emergency Light  (Black),ORD10047,2025-11-04,shipped
PU-OZONE Velcro Sports Sandals For Boys  (Grey),ORD10048,2025-03-10,in-progress
NEOBABY Lace Walking Shoes For Boys & Girls  (Green),ORD10049,2025-07-04,delivered
